INFO 2026-04-21 12:56:50,288 autoreload 31916 32168 Watching for file changes with StatReloader
WARNING 2026-04-21 13:36:32,371 basehttp 28652 7784 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,372 basehttp 28652 5844 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,373 log 28652 7784 Not Found: /static/rest_framework/css/prettify.css
WARNING 2026-04-21 13:36:32,374 log 28652 5844 Not Found: /static/rest_framework/css/default.css
WARNING 2026-04-21 13:36:32,374 basehttp 28652 7784 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,375 basehttp 28652 5844 "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,377 log 28652 7784 Not Found: /static/rest_framework/js/jquery-3.7.1.min.js
WARNING 2026-04-21 13:36:32,377 log 28652 5844 Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2026-04-21 13:36:32,378 basehttp 28652 7784 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,378 basehttp 28652 5844 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,380 log 28652 7784 Not Found: /static/rest_framework/js/csrf.js
WARNING 2026-04-21 13:36:32,380 log 28652 5844 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2026-04-21 13:36:32,381 basehttp 28652 7784 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,381 basehttp 28652 5844 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,383 log 28652 7784 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2026-04-21 13:36:32,384 log 28652 5844 Not Found: /static/rest_framework/js/default.js
WARNING 2026-04-21 13:36:32,385 basehttp 28652 7784 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,385 basehttp 28652 5844 "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:36:32,387 log 28652 7784 Not Found: /static/rest_framework/js/load-ajax-form.js
WARNING 2026-04-21 13:36:32,387 basehttp 28652 7784 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:37:00,842 log 28652 22264 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:37:00,843 basehttp 28652 22264 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:37:05,509 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:37:05,510 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:37:50,686 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:37:50,686 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:37:51,348 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:37:51,349 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:38:05,446 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:38:05,446 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:38:11,727 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:38:11,727 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:38:28,747 log 28652 22264 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:38:28,748 basehttp 28652 22264 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:39:32,524 log 28652 22264 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:39:32,525 basehttp 28652 22264 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:39:45,912 exceptions 28652 7784 Request Error: LoginView - 405 - Método "GET" no permitido.
WARNING 2026-04-21 13:39:45,915 log 28652 7784 Method Not Allowed: /api/auth/login/
WARNING 2026-04-21 13:39:45,915 basehttp 28652 7784 "GET /api/auth/login/ HTTP/1.1" 405 5562
WARNING 2026-04-21 13:39:45,931 log 28652 7784 Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2026-04-21 13:39:45,931 log 28652 5844 Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2026-04-21 13:39:45,932 basehttp 28652 7784 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:39:45,932 basehttp 28652 5844 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:39:45,936 log 28652 7784 Not Found: /static/rest_framework/css/default.css
WARNING 2026-04-21 13:39:45,936 log 28652 5844 Not Found: /static/rest_framework/css/prettify.css
WARNING 2026-04-21 13:39:45,937 basehttp 28652 5844 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:39:45,937 basehttp 28652 7784 "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:39:45,940 log 28652 5844 Not Found: /static/rest_framework/js/jquery-3.7.1.min.js
WARNING 2026-04-21 13:39:45,940 log 28652 7784 Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2026-04-21 13:39:45,940 basehttp 28652 5844 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:39:45,941 basehttp 28652 7784 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:39:45,943 log 28652 5844 Not Found: /static/rest_framework/js/csrf.js
WARNING 2026-04-21 13:39:45,944 log 28652 7784 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2026-04-21 13:39:45,944 basehttp 28652 5844 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:39:45,945 basehttp 28652 7784 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
